date,value
4/2/2019,9.185
5/2/2019,9.2025
6/2/2019,9.2175
7/2/2019,9.1325
8/2/2019,9.145
11/2/2019,9.05
12/2/2019,9.175
13/2/2019,9.165
14/2/2019,9.035
15/2/2019,9.075
19/2/2019,9.0075
20/2/2019,9.025
21/2/2019,9.11
22/2/2019,9.1025
25/2/2019,9.144
26/2/2019,9.0905
27/2/2019,9.1145
28/2/2019,9.077
1/3/2019,9.115
4/3/2019,9.16
5/3/2019,9.1375
6/3/2019,9.02
7/3/2019,9.025
8/3/2019,8.9575
11/3/2019,8.9
12/3/2019,8.97
13/3/2019,9.01
14/3/2019,8.985
15/3/2019,9.0925
18/3/2019,9.0575
19/3/2019,9.04
20/3/2019,9.06
21/3/2019,9.105
22/3/2019,9.0375
25/3/2019,9.065
26/3/2019,9.0075
27/3/2019,8.875
28/3/2019,8.895
29/3/2019,8.8425
1/4/2019,8.955
2/4/2019,9
3/4/2019,8.9875
4/4/2019,9.065
5/4/2019,8.99
8/4/2019,8.9875
9/4/2019,8.9875
10/4/2019,9.02
11/4/2019,8.9525
12/4/2019,8.9525
15/4/2019,8.9875
16/4/2019,8.88
17/4/2019,8.79
18/4/2019,8.805
22/4/2019,8.77
23/4/2019,8.62
24/4/2019,8.5525
25/4/2019,8.6195
26/4/2019,8.5905
29/4/2019,8.5545
30/4/2019,8.5145
1/5/2019,8.5175
2/5/2019,8.4325
3/5/2019,8.4225
6/5/2019,8.3025
7/5/2019,8.3075
8/5/2019,8.2725
9/5/2019,8.1275
10/5/2019,8.0925
13/5/2019,8.025
14/5/2019,8.315
15/5/2019,8.355
16/5/2019,8.3975
17/5/2019,8.2175
20/5/2019,8.3175
21/5/2019,8.22
22/5/2019,8.285
23/5/2019,8.215
24/5/2019,8.2975
28/5/2019,8.56
29/5/2019,8.72
30/5/2019,8.89
31/5/2019,8.7775
3/6/2019,8.79
4/6/2019,8.8175
5/6/2019,8.6975
6/6/2019,8.6875
7/6/2019,8.5625
10/6/2019,8.585
11/6/2019,8.5925
12/6/2019,8.78
13/6/2019,8.88
14/6/2019,8.9675
17/6/2019,9.1275
18/6/2019,9.135
19/6/2019,9.0325
20/6/2019,9.155
21/6/2019,9.0275
24/6/2019,9.09
25/6/2019,9.0455
26/6/2019,8.9645
27/6/2019,8.9135
28/6/2019,9.0355
1/7/2019,8.8975
2/7/2019,8.7975
3/7/2019,8.8975
5/7/2019,8.76
8/7/2019,8.79
9/7/2019,8.86
10/7/2019,8.945
11/7/2019,8.99
12/7/2019,9.1325
15/7/2019,9.0175
16/7/2019,8.8775
17/7/2019,8.825
18/7/2019,8.8125
19/7/2019,9.015
22/7/2019,8.8825
23/7/2019,8.8575
24/7/2019,8.91
25/7/2019,8.825
26/7/2019,8.8435
29/7/2019,8.8805
30/7/2019,8.8205
31/7/2019,8.68
1/8/2019,8.5275
2/8/2019,8.5575
5/8/2019,8.56
6/8/2019,8.53
7/8/2019,8.54
8/8/2019,8.7025
9/8/2019,8.79
12/8/2019,8.6675
13/8/2019,8.7625
14/8/2019,8.655
15/8/2019,8.58
16/8/2019,8.6725
19/8/2019,8.54
20/8/2019,8.5575
21/8/2019,8.605
22/8/2019,8.56
23/8/2019,8.4325
26/8/2019,8.5375
27/8/2019,8.4885
28/8/2019,8.5795
29/8/2019,8.636
30/8/2019,8.666
3/9/2019,8.685
4/9/2019,8.755
5/9/2019,8.615
6/9/2019,8.5775
9/9/2019,8.5775
10/9/2019,8.72
